,index,tweet,tweet_text,clean_tweet
867,1294,RT @JimHarris: TRACK CONFIRMED #CORONAVIRUS CASES IN REAL-TIME: Johns Hopkins University Center for Systems Science &amp; Engineering launched…,TRACK CONFIRMED #CORONAVIRUS CASES IN REAL-TIME: Johns Hopkins University Center for Systems Science &amp; Engineering launched,TRACK CONFIRMED CORONAVIRUS CASES IN Johns Hopkins University Center for Systems Science amp Engineering launch
868,227,"RT @marcorubio: Take claims that #CoronaVirus cases are going down in #China with many grains of salt

The Communist Party of #China’s has…","Take claims that #CoronaVirus cases are going down in #China with many grains of salt

The Communist Party of #China’s has",Take claim that CoronaVirus case be go down in China with many grain of salt The Communist Party of China have
869,448,"RT @TeamTrump: Team Trump National Press Secretary @kayleighmcenany: #Coronavirus is a moment we need to come together as Americans.

Presi…","Team Trump National Press Secretary @kayleighmcenany: #Coronavirus is a moment we need to come together as Americans.

Presi",Team Trump National Press Secretary kayleighmcenany Coronavirus be moment we need to come together a Americans Presi
870,635,RT @globalnewsto: Tech to help you understand Coronavirus. Expert @RealKrisAbel joins @LiemVu and @JennValentyne to talk about the top tech…,Tech to help you understand Coronavirus. Expert @RealKrisAbel joins @LiemVu and @JennValentyne to talk about the top tech,Tech to help you understand Coronavirus Expert RealKrisAbel join LiemVu and JennValentyne to talk about the top tech
871,829,RT @ESL_fairy: Tell Doug Ford to reinstate paid sick days to prevent the spread of the coronavirus! https://t.co/8qm6ALlsmR #onPoli,Tell Doug Ford to reinstate paid sick days to prevent the spread of the coronavirus!  #onPoli,Tell Doug Ford to reinstate paid sick day to prevent the spread of the coronavirus onPoli
872,1242,"RT @CNBC: Temperature checks, quiet streets and empty shelves: This is what daily life in China looks like as the coronavirus outbreak wors…","Temperature checks, quiet streets and empty shelves: This is what daily life in China looks like as the coronavirus outbreak wors",Temperature check quiet street and empty shelf This be what daily life in China look like a the coronavirus outbreak wors
873,740,"RT @FareedZakaria: That didn’t take long: Pres. Trump casts coronavirus as evidence in favor of closed-border immigration policies 
https:/…","That didn’t take long: Pres. Trump casts coronavirus as evidence in favor of closed-border immigration policies 
https",That didn take long Pres Trump cast coronavirus a evidence in favor of immigration policy http
874,786,RT @SadieTNResist: The Atlanta CDC Lab had feared contamination of the coronavirus test kits. Many government agencies knew about this but…,The Atlanta CDC Lab had feared contamination of the coronavirus test kits. Many government agencies knew about this but,The Atlanta CDC Lab have fear contamination of the coronavirus test kit Many government agency knew about this but
875,1149,"RT @Education4Libs: The Bill &amp; Melinda Gates Foundation predicted the Coronavirus could kill 65M people.

And that was 3 months ago.

The f…","The Bill &amp; Melinda Gates Foundation predicted the Coronavirus could kill 65M people.

And that was 3 months ago.

The f",The Bill amp Melinda Gates Foundation predict the Coronavirus could kill 65M people And that be month ago The
876,1307,"RT @cnni: The Bill and Melinda Gates Foundation is pledging up to $100 million to help find a vaccine for the coronavirus, limit its spread…","The Bill and Melinda Gates Foundation is pledging up to $100 million to help find a vaccine for the coronavirus, limit its spread",The Bill and Melinda Gates Foundation be pledge up to 100 million to help find vaccine for the coronavirus limit it spread
